0 1:-2.1237	2:-2.7127	3:-0.31581	4:-0.40339	
0 1:-2.5533	2:-2.7028	3:-0.53235	4:-0.56353	
0 1:2.8671	2:13.3365	3:-0.021716	4:-0.10101	
0 1:-0.95597	2:-1.5614	3:-1.1192	4:-1.8279	
0 1:-0.16682	2:-0.10903	3:-0.84395	4:-0.55158	
0 1:2.6075	2:3.45	3:-2.9085	4:-3.8482	
0 1:-5.8605	2:-4.714	3:-6.5592	4:-5.2759	
0 1:5.8279	2:2.1311	3:4.7643	4:1.7422	
0 1:0.01158	2:0.024868	3:0.00054496	4:0.0011703	
0 1:0.13247	2:0.56324	3:-0.13735	4:-0.58399	
0 1:-0.5161	2:-0.35826	3:-2.013	4:-1.3973	
0 1:-2.5947	2:-2.0699	3:-0.32859	4:-0.26213	
0 1:-0.5713	2:-2.4677	3:0.088468	4:0.38213	
0 1:-0.81134	2:-3.7789	3:-0.54063	4:-2.518	
0 1:-2.2896	2:-2.2896	3:-0.18814	4:-0.18814	
0 1:0.36889	2:0.84329	3:0.26049	4:0.59548	
0 1:-0.64214	2:-2.5331	3:0.14773	4:0.58278	
0 1:-2.7969	2:-2.0895	3:-8.7863	4:-6.564	
0 1:-0.42842	2:-2.1396	3:-0.61078	4:-3.0503	
0 1:0.94318	2:4.6887	3:1.9782	4:9.8337	
0 1:2.1346	2:1.7933	3:19.3424	4:16.2502	
0 1:-1.0831	2:-2.407	3:-3.0022	4:-6.6716	
0 1:-2.2936	2:-3.5774	3:-2.3783	4:-3.7094	
0 1:-6.3332	2:-2.1679	3:-9.2633	4:-3.1709	
0 1:-2.9665	2:-1.004	3:-2.6024	4:-0.88075	
0 1:7.3595	2:10.311	3:2.3423	4:3.2817	
0 1:3.5542	2:4.6585	3:-0.2308	4:-0.3025	
0 1:5811.4401	2:10245.6436	3:-3.5537	4:-6.2652	
0 1:-1.4921	2:-1.4658	3:-1.4256	4:-1.4005	
0 1:-1.6013	2:-0.90647	3:-1.4118	4:-0.79918	
0 1:0.16784	2:0.88244	3:-0.047671	4:-0.25063	
0 1:6.5315	2:10.8094	3:0.38926	4:0.64421	
0 1:3242.0414	2:5422.6315	3:2.9584	4:4.9482	
0 1:4.4511	2:6.8072	3:3135.273	4:4794.8595	
0 1:0.98508	2:0.17525	3:8615.2834	4:1532.7273	
0 1:2084.3798	2:2722.7042	3:9.3173	4:12.1707	
0 1:2741.3871	2:791.2851	3:-15.8045	4:-4.5619	
0 1:-93.7333	2:-106.3911	3:-91.7551	4:-104.1458	
0 1:-155.4148	2:-58.6533	3:-157.2767	4:-59.356	
0 1:-5.7606	2:-1.6672	3:-4.4752	4:-1.2952	
0 1:-16.4176	2:-11.7928	3:887.7557	4:637.6764	
0 1:-0.025642	2:-27.2929	3:0.97103	4:1033.543	
0 1:-121.0524	2:-51.6632	3:-120.9935	4:-51.638	
0 1:-97.7932	2:-27.3158	3:3724.6118	4:1040.3652	
0 1:8744.1277	2:8622.3055	3:-34.3946	4:-33.9154	
0 1:-0.050531	2:-60.2396	3:0.94817	4:1130.348	
0 1:-8.2972	2:-9.4672	3:-6.1859	4:-7.0582	
0 1:-24.4717	2:-20.58	3:-23.3635	4:-19.648	
0 1:-0.059515	2:-36.6605	3:-0.06237	4:-38.419	
0 1:3348.7085	2:1105.7898	3:-114.3494	4:-37.7598	
0 1:-468.5678	2:-894.9381	3:-470.137	4:-897.9353	
0 1:-19.0302	2:-11.0672	3:-19.6324	4:-11.4174	
0 1:1466.0446	2:574.9115	3:-20.5035	4:-8.0405	
0 1:-1953.5005	2:-633.2582	3:-1953.4354	4:-633.237	
0 1:-2.0869	2:-2.5811	3:905.2239	4:1119.6014	
0 1:-33.9961	2:-22.8709	3:-33.3606	4:-22.4433	
0 1:789.8009	2:630.1362	3:-1.7795	4:-1.4197	
0 1:3537.0374	2:1683.6768	3:3536.8859	4:1683.6046	
0 1:-2.575	2:-1.2243	3:-2.1984	4:-1.0452	
0 1:7696.1777	2:5246.4085	3:-3.1102	4:-2.1202	
0 1:4.2212	2:0.71883	3:-2.5639	4:-0.4366	
0 1:3281.6663	2:2761.0329	3:4.3765	4:3.6822	
0 1:6340.8201	2:4572.9399	3:6350.5559	4:4579.9612	
0 1:5.9662	2:5.2373	3:6.2485	4:5.4852	
0 1:2617.5882	2:5773.6671	3:0.49992	4:1.1027	
0 1:2.7738	2:3.2403	3:3.2232	4:3.7653	
0 1:11.0091	2:28.792	3:3.4843	4:9.1124	
0 1:2.7638	2:8.706	3:1.4731	4:4.6402	
0 1:-0.19321	2:-0.2426	3:-0.042741	4:-0.053665	
0 1:3799.5577	2:6109.5004	3:0.89453	4:1.4384	
0 1:-0.50237	2:-1.6778	3:-0.16644	4:-0.55587	
0 1:3.0326	2:6.5992	3:1.8062	4:3.9305	
0 1:17829.0948	2:5155.9963	3:6.1565	4:1.7804	
0 1:15.7938	2:46.6896	3:-0.23344	4:-0.6901	
0 1:0.11551	2:0.37631	3:0.63325	4:2.0631	
0 1:3320.0111	2:4404.5771	3:1.2415	4:1.647	
0 1:-1.5052	2:-1.5181	3:-1.0802	4:-1.0894	
0 1:5702.1161	2:9550.15	3:-0.99251	4:-1.6623	
0 1:-0.34615	2:-0.29923	3:-0.19505	4:-0.16861	
0 1:0.45295	2:0.5755	3:2.5695	4:3.2647	
0 1:1.0886	2:2.989	3:-2.3894	4:-6.5606	
0 1:-5.4611	2:-10.1262	3:-2.6216	4:-4.861	
0 1:11257.8931	2:9864.7537	3:11.0874	4:9.7154	
0 1:2.0714	2:3.4784	3:2.1035	4:3.5323	
0 1:1.6255	2:1.9204	3:3.5153	4:4.1532	
0 1:-0.0056172	2:-0.0091538	3:-0.87628	4:-1.428	
0 1:2.3238	2:3.9233	3:3.629	4:6.1268	
0 1:0.11261	2:0.19469	3:2827.0331	4:4887.4831	
0 1:-3.1376	2:-10.5162	3:0.28087	4:0.94138	
0 1:1.7937	2:0.796	3:-2.0323	4:-0.90189	
0 1:2.9355	2:0.82876	3:2.864	4:0.8086	
0 1:6.8028	2:7.8919	3:5.4832	4:6.3611	
0 1:2.2328	2:0.66958	3:5800.8126	4:1739.581	
0 1:13.9334	2:2.0852	3:18009.594	4:2695.2149	
0 1:1.0708	2:5.9545	3:-0.11577	4:-0.64373	
0 1:2.5953	2:3.5342	3:2.8668	4:3.9038	
0 1:17635.1358	2:5411.2981	3:17623.8189	4:5407.8256	
0 1:-0.94694	2:-1.2821	3:1.3234	4:1.7918	
0 1:1.3693	2:1.8558	3:2.7127	4:3.6765	
0 1:0.13724	2:0.17578	3:2562.3133	4:3281.8499	
0 1:1.4818	2:0.62029	3:6765.2597	4:2831.916	
0 1:5124.1095	2:5221.5747	3:-1.1405	4:-1.1621	
0 1:2.7332	2:6.481	3:-0.15214	4:-0.36076	
0 1:8.1136	2:27.4176	3:-1.055	4:-3.5652	
0 1:-3482.5627	2:-4121.2898	3:-3482.1446	4:-4120.7949	
0 1:2.9645	2:1.8488	3:4.4388	4:2.7681	
0 1:2.0906	2:0.74729	3:10.5528	4:3.7722	
0 1:2.4136	2:4.5144	3:-0.30537	4:-0.57117	
0 1:7957.7125	2:2347.5921	3:2.2828	4:0.67344	
0 1:3.2049	2:2.9907	3:1.5782	4:1.4727	
0 1:1.1265	2:0.62461	3:-0.42426	4:-0.23524	
0 1:1.9544	2:3.6897	3:1.4542	4:2.7453	
0 1:2.3935	2:5.3494	3:2111.1069	4:4718.315	
0 1:-4.6432	2:-8.037	3:-3475.2875	4:-6015.3524	
0 1:4.4206	2:6.469	3:-0.854	4:-1.2497	
0 1:22.3978	2:35.772	3:2.3266	4:3.7158	
0 1:48.9461	2:7.3436	3:6.5059	4:0.97611	
0 1:-4.9988	2:-0.7211	3:-1.7255	4:-0.2489	
0 1:1.137	2:5.3446	3:0.038231	4:0.1797	
0 1:0.3892	2:2.1256	3:-0.030961	4:-0.1691	
0 1:3.5221	2:3.6026	3:0.61728	4:0.63139	
0 1:3.1498	2:4.074	3:-4.2442	4:-5.4895	
0 1:3.0042	2:1.4173	3:0.1308	4:0.061708	
0 1:-0.49411	2:-0.74614	3:1.0133	4:1.5302	
0 1:0.23827	2:0.34935	3:0.94215	4:1.3814	
0 1:-0.1296	2:-0.64806	3:1.1939	4:5.97	
0 1:4.7211	2:5.1107	3:0.57886	4:0.62662	
0 1:3.6687	2:3.5406	3:0.89659	4:0.86529	
0 1:2278.6035	2:2089.2175	3:1.9012	4:1.7432	
0 1:6.0207	2:4.7166	3:6.8506	4:5.3668	
0 1:0.264	2:0.11381	3:2652.1462	4:1143.3255	
0 1:3.7419	2:1.7452	3:-0.25577	4:-0.11929	
0 1:5.4126	2:2.7752	3:-0.081106	4:-0.041587	
0 1:2.44	2:5.8354	3:0.36781	4:0.87964	
0 1:5768.1341	2:1963.5481	3:-1.0365	4:-0.35285	
0 1:0.36609	2:0.314	3:0.10758	4:0.092272	
0 1:0.45168	2:0.83723	3:4.9494	4:9.1741	
0 1:5.0754	2:1.3115	3:7.5768	4:1.9578	
0 1:7.2922	2:10.6678	3:4937.0891	4:7222.4629	
0 1:5.0856	2:2.9293	3:8.0201	4:4.6197	
0 1:15.4931	2:4.9876	3:-1.8346	4:-0.59061	
0 1:-1.9685	2:-2.2043	3:-1.3919	4:-1.5586	
0 1:1.3127	2:2.1763	3:-0.51657	4:-0.8564	
0 1:11.9508	2:7.6258	3:0.19561	4:0.12482	
0 1:1.2379	2:4.5208	3:-0.4143	4:-1.513	
0 1:4.8711	2:5.5719	3:2.2381	4:2.5601	
0 1:2.0528	2:1.2283	3:0.015098	4:0.0090337	
0 1:2.0207	2:1.9186	3:-1.1338	4:-1.0765	
0 1:1158.4911	2:3439.0247	3:-1.8107	4:-5.3751	
0 1:0.41355	2:0.30984	3:-0.45075	4:-0.3377	
0 1:1.8697	2:3.431	3:1.3384	4:2.4561	
0 1:5.3441	2:3.3381	3:0.1203	4:0.075145	
0 1:-2.4211	2:-1.4734	3:-2.3862	4:-1.4521	
0 1:-39.3537	2:-22.085	3:-38.4324	4:-21.568	
0 1:1.7635	2:2.0786	3:0.21259	4:0.25058	
0 1:-0.34962	2:-0.18576	3:-7.6047	4:-4.0405	
0 1:1.1209	2:1.0367	3:-0.42259	4:-0.39085	
0 1:2.7697	2:3.6348	3:-1.1081	4:-1.4542	
0 1:-0.24729	2:-0.15313	3:0.12234	4:0.075751	
0 1:-0.68391	2:-0.39642	3:6.6304	4:3.8432	
0 1:1.4733	2:3.1544	3:-0.036453	4:-0.078046	
0 1:-0.70062	2:-0.41324	3:0.59049	4:0.34829	
0 1:-0.94344	2:-3.4541	3:0.46076	4:1.6869	
0 1:-0.51212	2:-1.1995	3:-0.98683	4:-2.3114	
0 1:3.0571	2:4.9145	3:1.186	4:1.9066	
0 1:0.87554	2:0.77096	3:1.3295	4:1.1707	
0 1:-1.7134	2:-2.1894	3:-1.1043	4:-1.4111	
0 1:-4.8057	2:-2.0935	3:0.22645	4:0.098647	
0 1:-1.9543	2:-1.8354	3:-2.4969	4:-2.345	
0 1:-0.22715	2:-0.30846	3:-1.131	4:-1.5359	
0 1:-44.1514	2:-24.6156	3:-51.5468	4:-28.7387	
0 1:-2.013	2:-4.685	3:-2.3386	4:-5.4429	
0 1:2876.6225	2:5428.6456	3:-2.2861	4:-4.3142	
0 1:-4.2929	2:-4.5911	3:-3.6433	4:-3.8964	
0 1:0.89097	2:0.70646	3:-0.80651	4:-0.63949	
0 1:2.793	2:1.2722	3:4.3176	4:1.9666	
0 1:-0.44209	2:-1.1115	3:-0.65329	4:-1.6426	
0 1:1.6764	2:2.5486	3:0.60352	4:0.9175	
0 1:-16.1998	2:-5.9596	3:-16.3588	4:-6.0181	
0 1:1.0204	2:1.2543	3:-0.31873	4:-0.39179	
0 1:4.2393	2:4.5475	3:0.45856	4:0.4919	
0 1:-2570.8467	2:-7299.7688	3:-2571.3407	4:-7301.1715	
0 1:0.83448	2:1.6703	3:0.91877	4:1.839	
0 1:1.6897	2:3.4592	3:-0.25367	4:-0.51931	
0 1:0.88501	2:1.0591	3:0.82538	4:0.98777	
0 1:4.307	2:6.0723	3:-1.437	4:-2.026	
0 1:-0.50897	2:-2.6605	3:0.17636	4:0.92188	
0 1:-0.96208	2:-1.5386	3:-0.74221	4:-1.187	
0 1:-3.777	2:-1.8045	3:-1.0488	4:-0.50105	
0 1:2.5859	2:6.7238	3:2.5973	4:6.7533	
0 1:-2.1178	2:-1.246	3:0.82109	4:0.4831	
0 1:4018.2182	2:2807.0914	3:2.9191	4:2.0392	
0 1:-0.60534	2:-0.31211	3:-1.5406	4:-0.79432	
0 1:-2.0953	2:-1.2528	3:1.8685	4:1.1172	
0 1:12.2529	2:27.9986	3:-3.1914	4:-7.2925	
0 1:3.2308	2:2.6968	3:-2.2551	4:-1.8824	
0 1:-0.34306	2:-0.53575	3:-0.47325	4:-0.73906	
0 1:-7.4326	2:-4.3955	3:-6.4097	4:-3.7906	
0 1:-1.6115	2:-0.92772	3:-0.93604	4:-0.53887	
0 1:-3.8252	2:-5.1734	3:-4.6978	4:-6.3535	
0 1:-4.1075	2:-5.918	3:-0.67793	4:-0.97674	
0 1:0.95367	2:0.81393	3:0.11351	4:0.09688	
0 1:0.025976	2:0.042645	3:-0.57427	4:-0.94276	
0 1:-0.070238	2:-0.19573	3:1.5097	4:4.2069	
0 1:-0.97945	2:-1.0354	3:0.58665	4:0.62014	
0 1:0.88579	2:0.55931	3:-0.28634	4:-0.1808	
0 1:5.1192	2:5.655	3:2.1756	4:2.4033	
0 1:1914.4111	2:3350.2194	3:7.643	4:13.3752	
0 1:-0.53368	2:-2.4118	3:2.365	4:10.6883	
0 1:-669.2757	2:-1495.8838	3:-0.42303	4:-0.9455	
0 1:-20.2479	2:-25.9563	3:-21.7277	4:-27.8533	
0 1:1560.2055	2:1858.244	3:1560.2723	4:1858.3236	
0 1:-0.36891	2:-0.30286	3:678.6478	4:557.134	
0 1:0.94399	2:0.425	3:3734.5222	4:1681.3417	
0 1:-0.0071894	2:-0.016307	3:1.4732	4:3.3416	
0 1:-0.47436	2:-0.42814	3:4279.2945	4:3862.4033	
0 1:0.82071	2:0.92813	3:0.68578	4:0.77554	
0 1:12.3476	2:8.8892	3:40.0824	4:28.8558	
0 1:-6.96	2:-2.0478	3:36.778	4:10.8211	
0 1:0.65515	2:1.2436	3:-0.20614	4:-0.39128	
0 1:6.5748	2:14.5021	3:0.68847	4:1.5186	
0 1:-3.7825	2:-1.413	3:-2.8392	4:-1.0607	
0 1:4032.2736	2:5556.5881	3:0.74615	4:1.0282	
0 1:6.886	2:4.2182	3:-2.5006	4:-1.5318	
0 1:5.9408	2:2.4469	3:4.0335	4:1.6613	
0 1:11.008	2:19.7033	3:3.1853	4:5.7014	
0 1:10426.6924	2:4596.56	3:2.1569	4:0.95086	
0 1:3.6751	2:5.5933	3:-0.22039	4:-0.33542	
0 1:2.6072	2:4.9456	3:0.84612	4:1.605	
0 1:0.99366	2:1.6531	3:-0.13513	4:-0.2248	
0 1:0.92682	2:0.94052	3:0.36821	4:0.37365	
0 1:1993.2029	2:5493.8921	3:-1.2895	4:-3.5543	
0 1:17.0863	2:15.9044	3:-0.046883	4:-0.04364	
0 1:3.7656	2:2.5715	3:0.08513	4:0.058135	
0 1:-1.6957	2:-0.93316	3:5.4859	4:3.019	
0 1:-1.1413	2:-1.5334	3:-1.2515	4:-1.6815	
0 1:2.1021	2:2.6878	3:-2.6963	4:-3.4476	
0 1:0.60254	2:0.9027	3:-0.34952	4:-0.52363	
0 1:-12.5333	2:-6.6839	3:-11.5109	4:-6.1387	
0 1:-1.2081	2:-2.2038	3:-1.5503	4:-2.828	
